Starting Error Log for today 12/01/26 11:45:02
New() >> Init done - 12/01/26 11:45:02
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000730; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001000; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000105; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32068940000000097320643; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000001122; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000108; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: IN; pRFID: B32006010000000000000214; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:50:49
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000299; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:59:18
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001000; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:59:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32068940000000097320643; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:59:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:59:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001122; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:59:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000108; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:59:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000811; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 02:59:19
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000299; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 03:31:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001000; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 03:31:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32068940000000097320643; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 03:31:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001103; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 03:31:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000001122; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 03:31:01
StartUpdateDB() >> pTRAN_TYPE: OUT; pRFID: B32006010000000000000108; pReader: FCDCEC; pIPADDR: 10.28.92.51; SP: SP_FILM_UPDATE_TRAN_LOOPCOIL - 21/01/26 03:31:01
